time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,date
1744754400,2025-04-16 00:00,12.4,54.3,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",4.5,7.2,116,ESE,1013.0,29.91,0.0,0.0,0.0,96,18,12.0,53.5,12.0,53.5,12.4,54.3,11.8,53.2,0,0,0,0,2.0,1.0,8.6,13.9,0.0,2025-04-16
1744758000,2025-04-16 01:00,12.2,53.9,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",4.0,6.5,118,ESE,1013.0,29.92,0.0,0.0,0.0,96,25,11.8,53.3,11.8,53.3,12.2,53.9,11.5,52.6,0,0,0,0,2.0,1.0,7.8,12.5,0.0,2025-04-16
1744761600,2025-04-16 02:00,12.0,53.5,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",4.9,7.9,123,ESE,1014.0,29.93,0.0,0.0,0.0,95,16,11.3,52.4,11.3,52.4,12.0,53.5,11.2,52.2,0,0,0,0,2.0,1.0,9.4,15.1,0.0,2025-04-16
1744765200,2025-04-16 03:00,11.6,52.9,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",4.7,7.6,127,SE,1014.0,29.94,0.0,0.0,0.0,95,28,11.0,51.7,11.0,51.7,11.6,52.9,10.8,51.4,0,0,0,0,2.0,1.0,9.1,14.7,0.0,2025-04-16
1744768800,2025-04-16 04:00,11.4,52.5,0,"{'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.5,7.2,124,SE,1014.0,29.94,0.0,0.0,0.0,94,18,10.8,51.4,10.8,51.4,11.4,52.5,10.5,50.8,0,0,0,0,10.0,6.0,8.7,13.9,0.0,2025-04-16
1744772400,2025-04-16 05:00,11.1,52.0,0,"{'text': 'Clear ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.5,7.2,118,ESE,1014.0,29.95,0.0,0.0,0.0,93,13,10.5,50.9,10.5,50.9,11.1,52.0,10.0,49.9,0,0,0,0,10.0,6.0,8.7,14.0,0.0,2025-04-16
1744776000,2025-04-16 06:00,11.5,52.7,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.5,7.2,108,ESE,1015.0,29.96,0.0,0.0,0.0,88,13,10.9,51.7,10.9,51.7,11.5,52.7,9.7,49.4,0,0,0,0,10.0,6.0,7.9,12.8,0.0,2025-04-16
1744779600,2025-04-16 07:00,13.0,55.4,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.9,7.9,121,ESE,1015.0,29.97,0.0,0.0,0.0,77,12,12.6,54.6,12.6,54.6,13.0,55.5,9.2,48.5,0,0,0,0,10.0,6.0,7.0,11.3,0.2,2025-04-16
1744783200,2025-04-16 08:00,14.8,58.6,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.3,10.1,133,SE,1015.0,29.98,0.0,0.0,0.0,67,9,14.3,57.8,14.3,57.8,14.8,58.6,8.8,47.8,0,0,0,0,10.0,6.0,7.4,12.0,0.8,2025-04-16
1744786800,2025-04-16 09:00,16.7,62.1,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.9,11.2,143,SE,1015.0,29.99,0.0,0.0,0.0,58,7,16.7,62.1,16.7,62.1,16.7,62.1,8.4,47.1,0,0,0,0,10.0,6.0,8.0,12.9,1.8,2025-04-16
1744790400,2025-04-16 10:00,19.0,66.1,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",8.1,13.0,156,SSE,1016.0,29.99,0.0,0.0,0.0,49,10,19.0,66.1,19.0,66.1,19.0,66.1,8.0,46.3,0,0,0,0,10.0,6.0,9.3,14.9,3.1,2025-04-16
1744794000,2025-04-16 11:00,21.1,69.9,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",9.8,15.8,168,SSE,1015.0,29.99,0.0,0.0,0.0,40,10,21.1,69.9,21.1,69.9,23.8,74.9,6.9,44.3,0,0,0,0,10.0,6.0,11.3,18.2,4.5,2025-04-16
1744797600,2025-04-16 12:00,22.3,72.1,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",11.4,18.4,178,S,1016.0,30.0,0.0,0.0,0.0,41,0,23.9,75.0,23.0,73.4,23.9,75.0,6.0,42.7,0,0,0,0,10.0,6.0,13.1,21.1,5.2,2025-04-16
1744801200,2025-04-16 13:00,23.9,75.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",11.4,18.4,165,SSE,1015.0,29.96,0.0,0.0,0.0,31,3,24.2,75.5,23.9,75.0,24.2,75.5,5.9,42.6,0,0,0,0,10.0,6.0,13.1,21.1,5.4,2025-04-16
